published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2023-02-12;2;;https://www.amazon.com/dp/0525560653?tag=NYTBSREV-20;;Richard Haass;https://storage.googleapis.com/du-prd/books/images/9780525560654.jpg;333;500;;nyt://book/907da459-176e-5d35-b85e-aba80b3924ee;by Richard Haass;;2023-02-01 23:11:23;The president of the Council on Foreign Relations makes his case for what he considers obligations for American citizens.;;0.00;0525560653;9780525560654;Penguin Press;10;0;;THE BILL OF OBLIGATIONS;2023-02-01 23:15:45;1
2023-02-12;2;;https://www.amazon.com/dp/0593083881?tag=NYTBSREV-20;;Gabor Maté with Daniel Maté;https://storage.googleapis.com/du-prd/books/images/9780593083888.jpg;331;500;;nyt://book/f605fd84-af73-5853-a0fd-c9ba99723f94;by Gabor Maté with Daniel Maté;;2023-02-01 23:11:23;The potential ways in which trauma and stress from modern-day living can affect our physical health.;;0.00;0593083881;9780593083888;Avery;11;12;;THE MYTH OF NORMAL;2023-02-01 23:15:45;13
2023-02-12;2;;https://www.amazon.com/dp/0525657746?tag=NYTBSREV-20;;Michelle Zauner;https://storage.googleapis.com/du-prd/books/images/9780525657743.jpg;338;500;;nyt://book/606c842e-51e5-5ec6-826f-8c9104617ab8;by Michelle Zauner;;2023-02-01 23:11:24;The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.;;0.00;0525657746;9780525657743;Knopf;12;10;;CRYING IN H MART;2023-02-01 23:15:45;65
2023-02-12;2;;https://www.amazon.com/dp/0593133234?tag=NYTBSREV-20;;Ed Yong;https://storage.googleapis.com/du-prd/books/images/9780593133231.jpg;329;500;;nyt://book/ce082838-bf4a-5a13-8b8b-f7e2f3589d0a;by Ed Yong;;2023-02-01 23:11:24;The Pulitzer Prize–winning science writer explains the sensory perceptions and ways of communication used by a variety of animals.;;0.00;0593133234;9780593133231;Random House;13;8;;AN IMMENSE WORLD;2023-02-01 23:15:45;14
2023-02-12;2;;https://www.amazon.com/dp/0553393960?tag=NYTBSREV-20;;Jon Meacham;https://storage.googleapis.com/du-prd/books/images/9780553393965.jpg;331;500;;nyt://book/4d07cdac-f733-5964-a1b1-2b8dd3079f38;by Jon Meacham;;2023-02-01 23:11:24;The Pulitzer Prize-winning biographer portrays the life of Abraham Lincoln.;;0.00;0553393960;9780553393965;Random House;14;13;;AND THERE WAS LIGHT;2023-02-01 23:15:45;15
2023-02-12;2;;https://www.amazon.com/dp/1501191055?tag=NYTBSREV-20;;Ilyon Woo;https://storage.googleapis.com/du-prd/books/images/9781501191053.jpg;331;500;;nyt://book/63a05029-23af-5d43-a316-6d7af1a9bfd3;by Ilyon Woo;;2023-02-01 23:11:24;In 1848, Ellen Craft, disguised as a disabled white man, and her husband, William, posing as that man’s slave, achieved freedom only to have to flee again.;;0.00;1501191055;9781501191053;Simon & Schuster;15;7;;MASTER SLAVE HUSBAND WIFE;2023-02-01 23:15:45;2
2023-02-19;1;;https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20;;Bonnie Garmus;https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg;328;500;;nyt://book/717e0ead-9782-567d-af27-d9a6cfb1856f;by Bonnie Garmus;;2023-02-08 23:15:22;A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.;;0.00;038554734X;9780385547345;Doubleday;1;1;;LESSONS IN CHEMISTRY;2023-02-08 23:20:02;39
2023-02-19;1;;https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20;;Gabrielle Zevin;https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg;329;500;;nyt://book/bc07e3e3-e917-50bb-9439-70118335f40c;by Gabrielle Zevin;;2023-02-08 23:15:22;Two friends find their partnership challenged in the world of video game design.;;0.00;0593321200;9780593321201;Knopf;2;2;;TOMORROW, AND TOMORROW, AND TOMORROW;2023-02-08 23:20:02;19
2023-02-19;1;;https://www.amazon.com/dp/0593186710?tag=NYTBSREV-20;;Ana Reyes;https://storage.googleapis.com/du-prd/books/images/9780593186718.jpg;331;500;;nyt://book/167b79e1-5981-5960-8e1f-e59f7bc6e9d2;by Ana Reyes;;2023-02-08 23:15:22;Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.;;0.00;0593186710;9780593186718;Dutton;3;3;;THE HOUSE IN THE PINES;2023-02-08 23:20:02;5
2023-02-19;1;;https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20;;Barbara Kingsolver;https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg;329;500;;nyt://book/dd6e4f9d-d082-552d-b888-7276a25b5aca;by Barbara Kingsolver;;2023-02-08 23:15:22;A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.;;0.00;0063251922;9780063251922;Harper;4;5;;DEMON COPPERHEAD;2023-02-08 23:20:02;16
2023-02-19;1;;https://www.amazon.com/dp/1250282527?tag=NYTBSREV-20;;Jessica George;https://storage.googleapis.com/du-prd/books/images/9781250282521.jpg;329;500;;nyt://book/d9dc7556-d55b-591d-8aa8-e68f46453a6e;by Jessica George;;2023-02-08 23:15:22;Maddie, the daughter of an overbearing mother recently returned from Ghana and a father suffering from Parkinson’s, begins to build a life for herself in London.;;0.00;1250282527;9781250282521;St. Martin's;5;0;;MAAME;2023-02-08 23:20:02;1
2023-02-19;1;;https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20;;John Grisham;https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg;329;500;;nyt://book/b59f42c0-d9d0-5535-bf4b-21e5d04d3a46;by John Grisham;;2023-02-08 23:15:22;Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.;;0.00;0385548923;9780385548922;Doubleday;6;7;;THE BOYS FROM BILOXI;2023-02-08 23:20:02;16
2023-02-19;1;;https://www.amazon.com/dp/0316404292?tag=NYTBSREV-20;;James Patterson and Mike Lupica;https://storage.googleapis.com/du-prd/books/images/9780316404297.jpg;323;500;;nyt://book/db330a2d-a426-5056-9b11-4e66e0c1406b;by James Patterson and Mike Lupica;;2023-02-08 23:15:22;After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.;;0.00;0316404292;9780316404297;Little, Brown;7;4;;THE HOUSE OF WOLVES;2023-02-08 23:20:02;4
2023-02-19;1;;https://www.amazon.com/dp/1250235359?tag=NYTBSREV-20;;Jane Harper;https://storage.googleapis.com/du-prd/books/images/9781250874863.jpg;329;500;;nyt://book/2c1cca6e-a451-51a6-be66-46c94f765f6c;by Jane Harper;;2023-02-08 23:15:22;Questions surrounding the case of a missing woman, which have weighed on Aaron Falk for the past year, emerge at a gathering in the southern Australian wine country.;;0.00;1250235359;9781250235350;Flatiron;8;0;;EXILES;2023-02-08 23:20:02;1
2023-02-19;1;;https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20;;Stephen King;https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg;329;500;;nyt://book/1c203c2d-147d-5639-8e0c-009ba6f15698;by Stephen King;;2023-02-08 23:15:22;A high school kid inherits a shed that is a portal to another world where good and evil are at war.;;0.00;1668002175;9781668002179;Scribner;9;8;;FAIRY TALE;2023-02-08 23:20:02;22
