book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/d6f5e37b-916e-56d4-b13f-4029f0176a96;https://www.amazon.com/dp/1984818503?tag=NYTBSREV-20;https://goto.applebooks.apple/9781984818508?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984818508;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBETTER%2BOFF%2BDEAD%2FLee%2BChild%2Band%2BAndrew%2BChild%2F9781984818508;https://bookshop.org/a/3546/9781984818508;https://www.indiebound.org/book/9781984818508?aff=NYT
nyt://book/d7de00f6-afc5-58c4-b106-0dcb33c8eed9;https://www.amazon.com/dp/1982168439?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982168438?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982168438;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FCLOUD%2BCUCKOO%2BLAND%2FAnthony%2BDoerr%2F9781982168438;https://bookshop.org/a/3546/9781982168438;https://www.indiebound.org/book/9781982168438?aff=NYT
nyt://book/d9900620-08d7-507e-a236-84950b914db0;https://www.amazon.com/dp/0374279292?tag=NYTBSREV-20;https://goto.applebooks.apple/9780374279295?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780374279295;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FKING%253A%2BA%2BLIFE%2FJonathan%2BEig%2F9780374279295;https://bookshop.org/a/3546/9780374279295;https://www.indiebound.org/book/9780374279295?aff=NYT
nyt://book/d9940703-f772-5bfe-ba97-f720ebc513bb;https://www.amazon.com/dp/1538706490?tag=NYTBSREV-20;https://goto.applebooks.apple/9781538706497?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538706497;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLESLIE%2BF%252ACKING%2BJONES%2FLeslie%2BJones%2F9781538706497;https://bookshop.org/a/3546/9781538706497;https://www.indiebound.org/book/9781538706497?aff=NYT
nyt://book/db129406-d053-5a51-86ff-4f0d84c37b62;https://www.amazon.com/dp/1668011832?tag=NYTBSREV-20;https://goto.applebooks.apple/9781668011836?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668011836;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BSECRET%2BBOOK%2BOF%2BFLORA%2BLEA%2FPatti%2BCallahan%2BHenry%2F9781668011836;https://bookshop.org/a/3546/9781668011836;https://www.indiebound.org/book/9781668011836?aff=NYT
nyt://book/db330a2d-a426-5056-9b11-4e66e0c1406b;https://www.amazon.com/dp/0316404292?tag=NYTBSREV-20;https://goto.applebooks.apple/9780316404297?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316404297;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BHOUSE%2BOF%2BWOLVES%2FJames%2BPatterson%2Band%2BMike%2BLupica%2F9780316404297;https://bookshop.org/a/3546/9780316404297;https://www.indiebound.org/book/9780316404297?aff=NYT
nyt://book/db7e048c-bc6c-5296-ac61-086f12fbd094;https://www.amazon.com/dp/0063270420?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063270428?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063270428;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FYOU%2BCAN%2527T%2BJOKE%2BABOUT%2BTHAT%2FKat%2BTimpf%2F9780063270428;https://bookshop.org/a/3546/9780063270428;https://www.indiebound.org/book/9780063270428?aff=NYT
nyt://book/dc5a67bb-a9ca-52cd-a2d8-dbf0bd91a492;https://www.amazon.com/dp/0593297288?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593297285?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593297285;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHELL%2BAND%2BBACK%2FCraig%2BJohnson%2F9780593297285;https://bookshop.org/a/3546/9780593297285;https://www.indiebound.org/book/9780593297285?aff=NYT
nyt://book/dca58bef-c5c8-54a5-aa7a-53d2a4c185ca;https://www.amazon.com/dp/0593183223?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593183229?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593183229;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BONLY%2BONE%2BLEFT%2FRiley%2BSager%2F9780593183229;https://bookshop.org/a/3546/9780593183229;https://www.indiebound.org/book/9780593183229?aff=NYT
nyt://book/dd6e4f9d-d082-552d-b888-7276a25b5aca;https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063251922?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063251922;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDEMON%2BCOPPERHEAD%2FBarbara%2BKingsolver%2F9780063251922;https://bookshop.org/a/3546/9780063251922;https://www.indiebound.org/book/9780063251922?aff=NYT
nyt://book/ddd865f8-301c-5668-8353-2c629d1d8757;https://www.amazon.com/dp/031656513X?tag=NYTBSREV-20;https://goto.applebooks.apple/9780316565134?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316565134;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BLAST%2BHONEST%2BMAN%2FJames%2BRisen%2Bwith%2BThomas%2BRisen%2F9780316565134;https://bookshop.org/a/3546/9780316565134;https://www.indiebound.org/book/9780316565134?aff=NYT
nyt://book/de2a8ce7-d78e-5803-ae94-3e95c1938125;https://www.amazon.com/dp/0374610320?tag=NYTBSREV-20;https://goto.applebooks.apple/9780374610326?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780374610326;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDOPPELGANGER%2FNaomi%2BKlein%2F9780374610326;https://bookshop.org/a/3546/9780374610326;https://www.indiebound.org/book/9780374610326?aff=NYT
nyt://book/de82c2a0-f17b-526c-a326-c2233f0667b3;https://www.amazon.com/dp/075955434X?tag=NYTBSREV-20;https://goto.applebooks.apple/9780759554344?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780759554344;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FRUN%252C%2BROSE%252C%2BRUN%2FDolly%2BParton%2Band%2BJames%2BPatterson%2F9780759554344;https://bookshop.org/a/3546/9780759554344;https://www.indiebound.org/book/9780759554344?aff=NYT
nyt://book/df57b0f7-e75f-5762-b0bb-b7a9fe2d6db2;https://www.amazon.com/dp/1982188081?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982188085?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982188085;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDINNERS%2BWITH%2BRUTH%2FNina%2BTotenberg%2F9781982188085;https://bookshop.org/a/3546/9781982188085;https://www.indiebound.org/book/9781982188085?aff=NYT
nyt://book/dfb17d10-d212-5376-8a5f-192c0a9856f4;https://www.amazon.com/dp/1250890926?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250890924?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250890924;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BDADDY%2BDIARIES%2FAndy%2BCohen%2F9781250890924;https://bookshop.org/a/3546/9781250890924;https://www.indiebound.org/book/9781250890924?aff=NYT
