book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/c9b7a489-4da6-534e-bc91-737ea8b1fc72;https://www.amazon.com/dp/1982132116?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982132118?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982132118;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBLOOD%2BIN%2BTHE%2BGARDEN%2FChris%2BHerring%2F9781982132118;https://bookshop.org/a/3546/9781982132118;https://www.indiebound.org/book/9781982132118?aff=NYT
nyt://book/ca446f1d-44ee-57f9-9893-caf94da0d004;https://www.amazon.com/dp/1982155299?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982155292?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982155292;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FZERO%2BDAYS%2FRuth%2BWare%2F9781982155292;https://bookshop.org/a/3546/9781982155292;https://www.indiebound.org/book/9781982155292?aff=NYT
nyt://book/ca81ccc7-e926-5d49-a909-6092f5ad0822;https://www.amazon.com/dp/1982177446?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982177447?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982177447;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FA%2BCHRISTMAS%2BMEMORY%2FRichard%2BPaul%2BEvans%2F9781982177447;https://bookshop.org/a/3546/9781982177447;https://www.indiebound.org/book/9781982177447?aff=NYT
nyt://book/ca8f1ff2-04de-52ae-82bb-9c105477df5f;https://www.amazon.com/dp/0593242386?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593242384?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593242384;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBETTER%2BLIVING%2BTHROUGH%2BBIRDING%2FChristian%2BCooper%2F9780593242384;https://bookshop.org/a/3546/9780593242384;https://www.indiebound.org/book/9780593242384?aff=NYT
nyt://book/cc547d31-7001-56d2-a446-48706a3d1cd1;https://www.amazon.com/dp/0593296842?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593296844?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593296844;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSOMETHING%2BTO%2BHIDE%2FElizabeth%2BGeorge%2F9780593296844;https://bookshop.org/a/3546/9780593296844;https://www.indiebound.org/book/9780593296844?aff=NYT
nyt://book/ce015d0f-ea8f-5d6e-bd85-068d68dcd8a3;https://www.amazon.com/dp/0063247445?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063247444?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063247444;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNEVER%2BGIVE%2BAN%2BINCH%2FMike%2BPompeo%2F9780063247444;https://bookshop.org/a/3546/9780063247444;https://www.indiebound.org/book/9780063247444?aff=NYT
nyt://book/ce082838-bf4a-5a13-8b8b-f7e2f3589d0a;https://www.amazon.com/dp/0593133234?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593133231?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593133231;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FAN%2BIMMENSE%2BWORLD%2FEd%2BYong%2F9780593133231;https://bookshop.org/a/3546/9780593133231;https://www.indiebound.org/book/9780593133231?aff=NYT
nyt://book/cf6ad581-8c40-56b1-9b48-659046436cc4;https://www.amazon.com/dp/1982110899?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982110895?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982110895;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLEBRON%2FJeff%2BBenedict%2F9781982110895;https://bookshop.org/a/3546/9781982110895;https://www.indiebound.org/book/9781982110895?aff=NYT
nyt://book/d0ac82aa-79c8-5a9e-ad62-047d23365d3d;https://www.amazon.com/dp/0063073307?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063073302?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063073302;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLIVE%2BWIRE%2FKelly%2BRipa%2F9780063073302;https://bookshop.org/a/3546/9780063073302;https://www.indiebound.org/book/9780063073302?aff=NYT
nyt://book/d0f133b3-430c-5db9-a168-69f045f57e87;https://www.amazon.com/dp/1250313104?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250313102?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250313102;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHELL%2BBENT%2FLeigh%2BBardugo%2F9781250313102;https://bookshop.org/a/3546/9781250313102;https://www.indiebound.org/book/9781250313102?aff=NYT
nyt://book/d11fe16a-c353-5653-aafe-cf69e7a57309;https://www.amazon.com/dp/1668022443?tag=NYTBSREV-20;https://goto.applebooks.apple/9781668022443?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668022443;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FPEOPLE%2BVS.%2BDONALD%2BTRUMP%2FMark%2BPomerantz%2F9781668022443;https://bookshop.org/a/3546/9781668022443;https://www.indiebound.org/book/9781668022443?aff=NYT
nyt://book/d2808ec9-18c6-5ac1-8d3c-37abf655a106;https://www.amazon.com/dp/0385546238?tag=NYTBSREV-20;https://goto.applebooks.apple/9780385546232?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385546232;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWHEN%2BMCKINSEY%2BCOMES%2BTO%2BTOWN%2FWalt%2BBogdanich%2Band%2BMichael%2BForsythe%2F9780385546232;https://bookshop.org/a/3546/9780385546232;https://www.indiebound.org/book/9780385546232?aff=NYT
